name,subtitle,backers,goal,pledged,usd_pledged,created_at,launched_at,deadline,state_changed_at,category,location,staff_pick,is_in_post_campaign_pledging_phase,state,campaign_id,scrape_date,days_left,description
L3D Cube: The 3D LED Cube from the Future,music + internet + 3D LEDS = L3D Cube.  Create and share in 3D.  Join the future!,689,38000.0,252678.0,252678.0,11/12/2014 18:31,11/24/2014 19:05,1/6/2015 12:59,1420520340,Technology,Brooklyn,True,,successful,a30d44d10e,2/27/2025,,Description could not be generated
Fly12 Cycling Accessory | 1080p Camera & Front Light Combo,"Cycliq, makers of the world's first rear facing cycling camera/light combo, now brings you Fly12 for the front of your bike in 1080p!",1720,245000.0,668721.0,519791.0021,11/17/2014 20:18,2/13/2015 5:01,3/12/2015 17:00,1426150813,Technology,Perth,True,,successful,a2442851a3,2/27/2025,,"1. Description: Welcome to the next level of cycling safety - Fly12 Cycling Accessory, acting as both a 1080p camera and a front light for your bike! Born from the innovative minds of Cycliq, creators of the world's first rear-facing cycling camera/light combo, Fly12 is robust, versatile and reliable. Our campaign aims to provide you with a tool to illuminate your evening rides and record lifelike footage. Capture your experience on the tarmac, trails and beyond like never before."
The Fenik No-Ice Cooler,"No Ice, No Electricity, EVER.",562,70000.0,82597.11,82597.11,8/8/2018 0:25,9/12/2018 23:04,10/12/2018 23:04,1539356663,Technology,Boston,True,False,successful,a059e4eb52,2/27/2025,,"2. Description: Imagine this - A cooler that requires no ice, no electricity and still keeps your food and drinks chilled! The Fenik No-Ice Cooler is the next evolution in portable refrigeration, utilizing a completely natural system to get the job done. Our project hopes to revolutionize the way you enjoy the outdoors. Never worry about ice melts or power runs anymore!"
Computing: a Documentary of the Human Experience,A transmedia project engaging audiences of all ages in the story of the technology that has changed humanity.,349,25000.0,30329.66,30329.66,11/3/2011 4:49,11/28/2011 9:34,1/3/2012 17:59,1325584740,Technology,Mountain View,True,,successful,9fbdf32c39,2/27/2025,,"3. Description: Technology and humanity, interconnected in ways that have forever changed how we live, learn, and create. 'Computing: a Documentary of the Human Experience' endeavors to bring this story to light. We aim to inspire audiences through this transmedia project- featuring a mixture of interviews, demonstrations, and historical analysis. Help us showcase this cornerstone of modern society in an engaging, entertaining and educational manner."
BSides Vancouver 2014,"BSidesVancouver is a technical security conference that is free for attendees, open to the community and features low vendor influence.",67,5000.0,5811.0,5306.999534,8/23/2013 15:14,1/22/2014 5:39,2/8/2014 4:00,1391803218,Technology,Vancouver,True,False,successful,9ef2ff5059,2/27/2025,,"4. Description: Welcome to BSides Vancouver 2014. We are committed to providing attendees with a technical security conference free of commercial influence. Our project aims to build an event focused on open community discussion and knowledge sharing, fostering an environment of inclusivity and innovation. Join us in creating a platform where the key issues and solutions in the world of IT security are discussed!"
GoPano micro - Capture 360º videos from an iPhone 4,The GoPano micro is a lens for the iPhone 4 to make 360º panoramic videos! Snap the lens to your iPhone & record complete 360º action.,2685,20000.0,169209.18,169209.18,3/30/2011 7:31,3/31/2011 8:20,5/15/2011 8:20,1305418857,Technology,Pittsburgh,True,,successful,9ec6685328,2/27/2025,,"5. Description: Step into the future of mobile videography with the GoPano micro. This unique lens accessory for iPhone 4 allows you to capture 360º panoramic videos, immersing your audience in the very essence of the moment. Our goal is to transform the way you record and share your memories. From parties to scenic drives, never miss a moment from any angle!"
BioCurious: A Hackerspace for Biotech.  The Community Lab for Citizen Science,"A hackerspace is a place for collaboration, learning, and community support.  The model has been wildly successful for IT and hardware, lets try BIO!",239,30000.0,35319.9,35319.9,5/11/2010 13:41,6/27/2010 2:46,9/24/2010 8:10,1285287309,Technology,Mountain View,True,,successful,9ea16706dc,2/27/2025,,"6. Description: BioCurious is bringing the successful model of hackerspaces to the field of biotech. Our project seeks to build a community lab that encourages collaboration, promotes learning and nurtures innovation. We invite citizen scientists, hobbyists and biotech enthusiasts to integrate knowledge, develop Fresh ideas and contribute to the realm of scientific discovery. Let's hack biology together!"
Grove Ecosystem - Grow Fresh Food In Your Home,"The Ecosystem is a fun, beautiful way for you to grow fresh food in your home, all year long. Designed and built by engineers from MIT.",552,100000.0,412181.0,412181.0,8/26/2015 5:05,11/3/2015 9:35,12/11/2015 1:00,1449766800,Technology,Boston,True,,successful,9bd0ab5731,2/27/2025,,7. Description: The Grove Ecosystem delivers an innovative approach
The Solar Pocket Factory:  an Invention Adventure,We are two inventors working to revolutionize the world of small-scale solar panels.  Follow our story and make awesome solar things!,1174,50000.0,77504.56,77504.56,7/24/2012 21:49,8/16/2012 0:00,9/15/2012 0:00,1347638429,Technology,Manila,True,,successful,9a5ea81424,2/27/2025,,Description could not be generated
OFF Pocket,A privacy accessory for mobile phones to block all signals.,668,35000.0,56447.0,56447.0,4/20/2012 2:49,8/2/2013 23:21,8/28/2013 3:00,1377630041,Technology,Brooklyn,True,,successful,9a2815f149,2/27/2025,,Description could not be generated
Raspberry Shake 4D- Detect earthquakes & “invisible” motion!,"The world is SHAKINGGG! You can see it ALL with your very own seismograph! A Home ""Science"" Monitor with Raspberry Pi technology.",321,7000.0,92699.0,92699.0,7/1/2017 5:34,7/13/2017 21:05,8/17/2017 21:05,1502975109,Technology,Seattle,True,,successful,99e889fdd0,2/27/2025,,Description could not be generated
Make Flappy Box - DIY Game Kit,Make Flappy Box is a DIY Game Kit that lets you make a customizable physical game using electronics.,160,6000.0,6854.0,6854.0,2/22/2014 16:58,3/4/2014 21:24,4/3/2014 20:24,1396527842,Technology,New York,True,,successful,94265daa10,2/27/2025,,"1. Description: Get creative and enter the world of interactive gaming with Make Flappy Box, your do-it-yourself game kit! Craft your version of the timeless flappy game using easy-to-use electronic components. This is more than just a gaming experience; it's an exciting journey into the world of circuitry, design, and coding. Make your personalized game today!"
Notti: A More Beautiful Smart Light,This beautifully designed app-controlled light provides highly customized visual notifications and other useful info from your phone,904,5000.0,55568.0,55568.0,4/8/2014 15:14,10/20/2014 22:50,11/19/2014 23:50,1416412236,Technology,Los Angeles,True,,successful,92acb8c1b7,2/27/2025,,"2. Description: Introducing Notti, the smart light that illuminates your space while connecting you with the digital world. Manage your lighting environment and receive immersive notifications, all through your smartphone. Elegant, customizable, and intelligent, Notti pertains beauty and function in a modern design - truly a brilliant supplement to your lifestyle."
Rainforest Connection - Phones Turned to Forest Guardians,Technology to stop illegal logging and poaching on-the-spot. It's our answer to climate change & mass extinctions.,2844,100000.0,167299.81,167299.81,2/10/2013 9:43,6/24/2014 21:50,7/29/2014 21:50,1406641860,Technology,San Francisco,True,,successful,923ed379ab,2/27/2025,,"3. Description: Lend Mother Nature a hand with Rainforest Connection, a transformative tech solution to detect and deter illegal logging and poaching. By reusing old smartphones, our technology listens for harmful activities on the spot, providing us - and local authorities - real-time alerts. Join us in our mission for a sustainable future and help us protect the forests!"
The Community Microscope Kit,Explore the invisible microscopic world around you with an affordable microscope kit you construct yourself.,357,20000.0,41357.0,41357.0,5/2/2018 7:15,5/16/2018 8:59,6/28/2018 0:00,1530115200,Technology,New Orleans,True,False,successful,911cef1648,2/27/2025,,"4. Description: Embark on an incredible voyage to the unseen world with The Community Microscope Kit! It's an affordable, assemble-yourself kit designed to ignite your curiosity and learning. Break barriers, expand horizons, and discover microcosmos in a fun, interactive way without breaking the bank. Jump into the realm of the invisible and explore the profound!"
imitone: Mind to Melody,"Compose music with your voice, or any instrument, live.  Works with all your favorite music software.",2433,20000.0,90517.2,90517.2,8/6/2013 9:49,3/12/2014 0:36,4/11/2014 0:36,1397147761,Technology,Ames,True,,successful,8f8a91f612,2/27/2025,,"5. Description: Ever thought of crafting melodies with your voice or favorite instrument in real-time? imitone is here to make that dream a reality. Compose music intuitively with the help of our innovative software that captures your musical ideas and translates them into musical notes. Perfect for amateurs or seasoned musicians, imitone collapses the gap between creativity and melody."
Power Laces,"Power Laces- a cool piece of ""Future Tech"" that every kid of the 80s wanted, and can also improve the life of those with with motor disabilities.",278,25000.0,25024.5,25024.5,7/17/2010 6:44,8/29/2010 21:06,10/11/2010 14:59,1286780410,Technology,San Francisco,True,,successful,8c8f59380b,2/27/2025,,"6. Description: Step into the future with Power Laces, the ""future tech"" footwear that wowed us in the 80s! Not only fun and fascinating, these high-tech shoelaces can also benefit those with motor disabilities by making shoe wearing a breeze. Join us as we bring fantasy to life, kick-starting an innovative and inclusive project."
ALOH : The World’s First Floating Plasma Toroid Lamp,Discover a groundbreaking blend of art and tech—experience the unique glow of our xenon-powered plasma toroid that transforms any space,252,3000.0,115637.0,115637.0,2/19/2024 13:36,10/2/2024 16:00,11/22/2024 12:00,1732248001,Technology,New York,True,False,successful,8715e455b6,2/27/2025,,"7. Description: Illuminate your surroundings with ALOH, the world's first floating plasma toroid lamp. Balancing science and aesthetics, the xenon plasma light bathes your room in a warm, magical glow. As much a work of art as a technical marvel, ALOH profoundly transforms your living or working space."
The Effect of Lunar Gravity on Grapevine Berry Quality,We seek funding for experimental research exploring the effect of moon gravity on the quality of grapevine berries.,53,2500.0,2536.0,4269.985663,5/10/2014 6:26,5/15/2014 19:48,6/12/2014 1:15,1402506911,Technology,Lisbon,True,,successful,865361c75c,2/27/2025,,8. Description:
Wonderblend - A Combat Robot made by Highschoolers,"Wonderblend is a giant, 120 pound killing machine made by teenagers.  Try to imagine what would happen if lawnmower and a Harley had a baby. ",47,1000.0,1210.01,1210.01,4/24/2010 12:48,5/2/2010 2:40,6/1/2010 18:00,1275386410,Technology,Portland,True,,successful,8575deff40,2/27/2025,,Description could not be generated
Digitsole: The first interactive insole to heat your feet,"Digitsole is the first connected insole on the market controlled via your smartphone - warm your feet, track your distance and calories",606,40000.0,90074.0,90074.0,7/24/2014 20:58,9/3/2014 0:05,11/2/2014 0:05,1414857923,Technology,Nancy,True,,successful,8532abccb4,2/27/2025,,Description could not be generated
VERVE: Plug the world into your computer,"Interact with your computer in a whole new way. Play a favorite game or app using light, motion, magnets and more. No coding required!",409,20000.0,38617.0,38617.0,9/18/2013 16:29,10/24/2013 1:46,11/26/2013 2:46,1385405172,Technology,Irvine,True,,successful,811387140a,2/27/2025,,"1. Description: Welcome to a revolutionary interactive experience with VERVE, a revolutionary platform that enables you to integrate the physical world with your computer effortlessly. VERVE allows you to play your favorite games or apps using motion, light, magnets and more, creating an immersive, powerful, and seamless user experience like no other. Rewrite your definition of fun technology, no coding skills needed. Let your imagination roam free with VERVE!"
Vidcode: A Coding App Created with Girls in Mind,Vidcode teaches girls computer programming by enabling them to create video effects with code.,526,25000.0,31803.0,31803.0,8/8/2014 2:50,9/22/2014 12:51,10/22/2014 12:51,1413953473,Technology,New York,True,,successful,80bcd57bdc,2/27/2025,,"2. Description: Bring magic to life with Vidcode. Specifically designed to inspire young girls to dive into the world of programming, Vidcode harnesses the engaging nature of video creation. With Vidcode, girls can learn coding concepts by creating video effects, combining creativity, art, and the sciences. Empower the next generation of female leaders in STEM, spark a tech revolution among young girls!"
LARQ Bottle - Water Purification in a Self-Cleaning Bottle,No more stinky water bottles.  LARQ harness UV-C LED light to eliminate 99.9999% of bio-contaminants from your water and bottle.,12758,30000.0,1374021.0,1374021.0,9/21/2017 2:12,11/7/2017 20:57,12/7/2017 20:57,1512651436,Technology,San Francisco,True,False,successful,7d675db445,2/27/2025,,"3. Description: Imagine a world where your water bottle is forever fresh and drink-ready. That's LARQ - innovative water purification in a self-cleaning bottle. Leveraging powerful UV-C LED light technology, LARQ eradicates 99.9999% of impurities from your water and your bottle. Never worry about ""stinky"" water bottles again. Hydrate in confidence. Embrace the future of drinkware with LARQ."
Build your own cat playhouse with BLOCKS - again and again!,"Create structures by clicking various elements together, simply unlock to start-over. A clean & healthy toy for both you and your cat.",322,5500.0,23873.0,29737.16993,12/8/2014 20:45,12/18/2014 1:15,1/17/2015 1:15,1421428539,Technology,Amsterdam,True,,successful,7766ee9071,2/27/2025,,"4. Description: Give your feline friends the ultimate play experience with BLOCKS, a versatile, revolutionary cat playhouse. Design and build various structures using interlocking elements. Create a new play scene for your cat whenever the mood strikes, and easily unlock to start over. Hygienic, easy to assemble, and endlessly entertaining, BLOCKS is your cat's new favorite toy, and yours too!"
"ROCKI Wifi Music System, From Every Phone, To All Speakers","Free Your Music - From Every Phone, To All Speakers, For Everyone. ROCKI Wifi Music System, Multi-room, Multi-User, Multi-Speakers",2362,50000.0,222197.0,222197.0,11/6/2013 12:57,11/25/2013 23:00,12/20/2013 17:00,1387530017,Technology,New York,True,,successful,77341de505,2/27/2025,,"5. Description: Say hello to the future of home audio – ROCKI WiFi Music System. Unchain your music from your phone and let it fill your home. ROCKI integrates seamlessly with ALL speakers and phones, creating an immersive multi-room, multi-user, multi-speaker audio experience. Your soundtracks. Your soundscapes. Set your music free with ROCKI!"
TEAM 696: FIRST Robotics - Clark Magnet High School,"We are high school students in La Crescenta, CA spending our free time in the name of building awesome robots.",116,2000.0,3344.01,3344.01,1/6/2013 6:45,1/21/2013 5:25,3/9/2013 18:00,1362823240,Technology,La Crescenta,True,,successful,73e2ece0ec,2/27/2025,,"6. Description: Building robots is not just about science, it's about teamwork, dedication, and passion. That's what TEAM 696 from Clark Magnet High School embodies. We're a bunch of high school students from La Crescenta, CA dedicating our free time to build not just robots, but the future. Support our quest in inspiring the next generation of tech titans!"
Lenzhound Wireless Lens Motor Control System,A super-affordable wireless follow focus system for indie filmmakers. It's open source and Arduino compatible too!,297,46500.0,104456.9,104456.9,10/23/2013 1:57,11/22/2013 1:04,12/29/2013 1:04,1388250256,Technology,San Luis Obispo,True,,successful,73a31bf539,2/27/2025,,7. Description: Film as you've always wished
"EBO, Your Smart & Interactive Family Companion Robot","A mobile, self-charging, family-friendly robotic companion that allows you to connect with your loved ones at all times.",1572,77600.0,1974051.0,254124.4019,4/17/2021 14:54,5/6/2021 20:02,6/9/2021 10:00,1623204000,Technology,Hong Kong,True,False,successful,70e913ce44,2/27/2025,,Description could not be generated
Grain35: Beautiful 35mm Film Grain Scans For Your DSLR Video,"Grain35 is an affordable set of 35mm film grain scans for use in broadcast, indie film, advertising, or any other digital video project",255,15000.0,26206.0,26206.0,3/17/2012 5:13,3/21/2012 7:30,4/11/2012 12:59,1334120343,Technology,Minneapolis,True,,successful,704b755ae6,2/27/2025,,Description could not be generated
Grant Gongthung a Greenhouse,Grant Gongthung a Greenhouse is seeking to do exactly that. All-season growth would go a long way in these parts. Let's make it work!,39,600.0,1555.0,1457.331119,6/16/2014 11:03,7/1/2014 20:28,7/31/2014 20:28,1406809687,Technology,Tashigang,True,,successful,6e3d7dc492,2/27/2025,,Description could not be generated
Ultrasonic Levitation Machine - Learn the science of gravity,Use soundwaves to levitate objects with this real working device.  Create a levitation engine or maybe a new hoverboard technology.,351,10000.0,39607.0,39607.0,7/17/2014 7:18,8/12/2014 0:02,10/11/2014 0:02,1412956948,Technology,Los Angeles,True,,successful,6ba9d12a6a,2/27/2025,,1. Ultrasonic Levitation Machine - Learn the science of gravity
EcoGarden: The World's Smartest Interactive Ecosystem,A smart miniature greenhouse and self-sustaining aquarium.,391,700000.0,1001167.41,109401.6677,5/12/2018 22:44,9/4/2018 23:58,10/4/2018 23:00,1538665204,Technology,Stockholm,True,False,successful,6a146c810e,2/27/2025,,"Description: Journey into the fascinating world of physics with our Ultrasonic Levitation Machine project. We're not weaving magic, but providing a hands-on experience to levitate objects using soundwaves. Uncover the mysteries of gravity and imagine - you might just shape the future of levitation engines or hoverboard technology!"
Plasma Speaker,We're putting together kits to build plasma arc speakers for everyone to enjoy.,240,2000.0,18574.0,18574.0,8/5/2011 9:08,8/11/2011 9:17,10/9/2011 14:59,1318143542,Technology,Seattle,True,,successful,69cac15eac,2/27/2025,,2. EcoGarden: The World's Smartest Interactive Ecosystem
SLATE: Interactive Display for Tangibles,"An interactive display for children to build, test, share, and explore with tangible toolkits.",58,2500.0,3695.0,3695.0,5/22/2011 2:50,5/22/2011 3:22,7/21/2011 3:22,1311189736,Technology,Stanford,True,,successful,6686b65e07,2/27/2025,,"Description: Are you passionate about sustainable living? Our EcoGarden Kickstarter project blends nature with tech, introducing a smart greenhouse that also functions as a self-sustaining aquarium. Cultivate your green thumb, observe the lifecycle of fishes and enjoy tranquillity, all in the comfort of your home!"
Backyard Brains: Operation Publication,We created open-source tools to record neurons. Now we wish to publish experiments that help teachers and amateurs use our kits.,57,1350.0,1484.0,1484.0,2/2/2011 7:58,12/29/2011 17:17,1/12/2012 5:20,1326316839,Technology,Ann Arbor,True,,successful,6425d0b8e7,2/27/2025,,3. Plasma Speaker
Wölff: Art at your fingertips,Want to create beautiful and fast presentations of art that will dazzle your students and colleagues? Wölff is your tool.,253,20000.0,20043.0,20043.0,4/1/2014 17:59,4/5/2014 20:14,5/4/2014 5:00,1399150810,Technology,New Haven,True,,successful,61869a060a,2/27/2025,,Description: Imagine creating your own concert hall with a DIY speaker kit. Our Kickstarter campaign brings Plasma Speaker project that lets you assemble your own Plasma arc speaker. Dive into the entrancing world of sound and physics and feel the music come alive!
Mail Pilot: Email Reimagined,"You've never used email this intuitively. Get your email done, and get on with your day,",1623,35000.0,54205.86,54205.86,1/17/2012 13:20,1/20/2012 21:21,2/28/2012 1:00,1330362018,Technology,Blacksburg,True,,successful,6.18E+08,2/27/2025,,4. SLATE: Interactive Display for Tangibles
Adventures with Orphan Annie & Hot Metal Type,We're turning up the heat on letterpress! A non-profit restores an Orphan Annie Monotype Sorts Caster to make metal type.,129,5000.0,8116.0,8116.0,1/28/2011 4:52,2/14/2011 4:03,4/2/2011 10:00,1301709616,Technology,Portland,True,,successful,5e78666f7a,2/27/2025,,"Description: Stimulate curiosity, creativity, and mastery through play with SLATE – an interactive display for children. Children can build, test, and explore a myriad of concepts with our tangible toolkits. Let's ignite young minds, foster a love for learning, and make knowledge tangible!"
"Solar Cow, Send Underprivileged Kids to School.","Reward electricity as an incentive for sending kids to school. Selected as ""Time magazine's 100 Best invention"".",715,30000.0,100684.0,100684.0,8/8/2020 15:49,11/16/2020 23:33,1/9/2021 16:00,1610179200,Technology,New York,True,False,successful,5c4339b654,2/27/2025,,5. Backyard Brains: Operation Publication
Knut: Stay Connected,A WiFi enabled device with interchangeable sensors and a mobile app.,408,25000.0,55421.0,55421.0,4/27/2012 4:55,5/22/2012 3:16,7/6/2012 3:16,1341515768,Technology,Boston,True,,successful,5bf7106fbe,2/27/2025,,"Description: We've unlocked the brain's secrets with our open-source neuron recording kits. Our Kickstarter campaign, Operation Publication, lets us advance academic science from laboratories into classrooms and homes. Participate in our journey and help make neuroscience accessible to everyone!"
Snapstagram - Just Prints,Square photos for unsquare people. We specialize in the highest standard of Instagram Prints. Hand delivered to your doorstep.,839,3000.0,14040.38,14040.38,3/24/2012 23:49,4/4/2012 12:38,5/4/2012 12:38,1336106310,Technology,Columbus,True,,successful,5b234657bc,2/27/2025,,"1. Description: Immerse in the nostalgic charm and vibrant visuals of prints with Snapstagram - Just Prints. Each square photo captures your unforgettable moments and delivers them straight to your doorstep. Our premium Instagram prints boast the finest quality and showcase living memories beyond digital screens. Display, gift, or store them for prosperity, and let these beautiful prints enliven your space."
Soundlazer,"The Open Source, Hackable Parametric Speaker.  Focus a beam of sound at objects or into your head!",612,48000.0,126473.04,126473.04,2/23/2012 2:00,3/21/2012 4:15,5/20/2012 4:15,1337458519,Technology,Burbank,True,,successful,5aefcec4f6,2/27/2025,,"2. Description: Soundlazer is not just another speaker - we’re taking sound to the next level. The Open Source, Hackable Parametric Speaker allows you to focus a beam of sound just like a flashlight. Project/pinpoint sound onto objects or even into your head for a completely private listening experience. Immerse in the world of sound that goes beyond just hearing."
RetroStone - Ultimate RetroGaming Console,"With RetroStone rediscover your childhood video games! Alone or with friends (up to 5 players), in the train or on your TV!",1299,30000.0,200615.0,246214.7012,1/11/2018 0:11,2/23/2018 21:01,4/2/2018 20:01,1522670498,Technology,Paris,True,,successful,5a6bc629e9,2/27/2025,,"3. Description: Jump back in time and discover the nostalgia of 8-bit games with RetroStone. Our Ultimate RetroGaming Console allows up to 5 players to compete, collaborate, and relive their childhood video games. Whether on a train, a plane, or in front of your TV, RetroStone is your gateway to the golden age of gaming."
Niwa: The world’s first smartphone-controlled growing system,"The world’s first smartphone-controlled plant growing system that enables you to grow the freshest, healthiest food on Earth.",565,100000.0,151173.67,151173.67,4/16/2014 23:12,5/13/2014 1:11,6/22/2014 1:11,1403370669,Technology,San Francisco,True,,successful,5a2a634566,2/27/2025,,"4. Description: Niwa revolutionalizes the way you grow, care, and enjoy fresh foods. Being the world’s first smartphone-controlled plant growing system, it empowers you to produce the freshest, healthiest food right in your home. From adjusting light to control irrigation, everything's at fingertips. Discover urban farming with Niwa - healthy living, simplified!"
OCEARCH -Fund Critical Shark Research with Open Sourced Data,Fund our next expedition to tag and research Great White Sharks in the North Atlantic while open sourcing the collected data to all.,1471,150000.0,154702.07,154702.07,3/31/2016 0:54,5/23/2016 21:48,6/23/2016 9:00,1466643600,Technology,New York,True,False,successful,51263b5df6,2/27/2025,,"5. Description: OCEARCH isn't just for Shark enthusiasts, but for anyone passionate about marine life, open-data, and science exploration. Fund our next expedition to tag Great White Sharks in the North Atlantic and share the collected data with the world. Join us in breaking barriers in the world of marine biology and open-sourced data."
The Choosatron: Interactive Fiction Arcade Machine,The Choosatron is a Choose Your Own Adventure® inspired story printer. Wi-Fi connected and fully hackable!,570,22000.0,75080.0,75080.0,3/1/2012 1:23,7/29/2013 22:52,8/31/2013 10:00,1377914437,Technology,Minneapolis,True,,successful,4fdcc81eb1,2/27/2025,,"6. Description: Dive into epic adventures with The Choosatron. This distinct Interactive Fiction Arcade Machine, inspired by Choose Your Own Adventure® stories, prints out captivating narratives based on your choices. Connected via Wi-Fi and fully hackable, Choosatron delivers an unforgettable journey each time the start button is pressed."
Bring true Collaborative Consumption to Denver CO,Ever find yourself knowing your neighbors have tools you need to finish a project but don't know how to approach them?,58,3500.0,4034.0,4034.0,4/15/2014 1:19,4/30/2014 0:06,5/30/2014 0:06,1401379563,Technology,Denver,True,,successful,4efcb0148c,2/27/2025,,"7. Description: Envision a community where borrowing tools becomes easy as saying ‘Hello’? That’s precisely what we aim to achieve - a true Collaborative Consumption in Denver CO. Empower your community, reduce redundancy, and form warm relationships with your neighbors, all the while saving resources."
My N3RD: Connect and Control Anything from Anywhere,My N3RD is a revolutionary Wi-Fi product that allows you to control any device from your Smart Phone. No Internet or Router required.,963,50000.0,102153.76,102153.76,10/4/2013 1:52,1/10/2014 5:21,2/24/2014 5:21,1393190504,Technology,Olathe,True,,successful,48ca609a27,2/27/2025,,8. Description: Control your world from anywhere
Bitsbox | monthly coding projects for kids,A free website where kids code apps for real devices. Subscribers get boxes packed with new programming projects every month!,2943,45000.0,253696.0,253696.0,9/4/2014 3:48,12/9/2014 0:16,1/23/2015 0:16,1421943368,Technology,Boulder,True,,successful,488b24841c,2/27/2025,,Description could not be generated
~Archive: a Knowledge Tool by the Brooklyn Institute,"It's not an archive. It's a tool. Help us develop the technology to save countless old, out-of-print, and/or rare academic texts.",204,7500.0,9211.0,9211.0,3/30/2012 6:27,4/1/2012 22:00,5/16/2012 22:00,1337176818,Technology,Brooklyn,True,,successful,484526593f,2/27/2025,,Description could not be generated
121C Boards: The Spacecraft Inspired Skateboard,The ultimate skateboard crafted of pure carbon fiber upcycled from the production of modern day rockets!,188,10000.0,44353.0,44353.0,5/30/2015 3:10,7/23/2015 2:06,8/22/2015 2:06,1440180379,Technology,Los Angeles,True,,successful,46e19bc165,2/27/2025,,"1. Description: Unearth your passion for skateboarding with 121C Boards! Experience a ride that is not only thrilling but also boldly eco-friendly. Our advanced skateboards are made from actual carbon fiber discarded from rocket production. Every board is a revolutionary fusion of aerospace technology and skateboarding, promising durability, strength, and an ultra-smooth ride. Join our space-grade skateboard movement and roll towards a greener future!"
Airblock: The Modular and Programmable Starter Drone,"The first modular drone that can be turned into a hovercraft, car, and more! It does stunts through drag-and-drop programming.",5307,100000.0,829506.0,829506.0,9/20/2016 3:31,10/18/2016 20:58,12/14/2016 21:00,1481720400,Technology,San Francisco,True,False,successful,4477a563f5,2/27/2025,,"2. Description: Meet Airblock, a revolutionary drone for an innovative mind! This modular, customizable drone can transform into a hovercraft, car, and countless other creations. With intuitive drag-and-drop programming, kids and adults alike can master robotic stunts and learn coding in the most interactive, fun way imaginable. Support our Airblock and let's develop the future of interactive technology, one modular block at a time!"
The Bright Eyes Kit - DIY LED glasses to inspire programming,"Bright Eyes is a DIY kit that inspires people to learn programming and look cool while doing it! Glasses with 174 LEDs, enough said!",145,17500.0,17696.1,28542.64914,10/18/2012 17:44,11/2/2012 17:54,11/23/2012 18:54,1353668053,Technology,Hackney,True,False,successful,3edfc30cbd,2/27/2025,,"3. Description: Begin your coding adventure with the Bright Eyes Kit! These stylish 174-LED glasses offer not just a hip accessory, but also a brilliant way to learn programming. Assemble your Bright Eyes Glasses, write custom codes to display dazzling light patterns and make a fashion statement while nurturing your coding skills. Join our dream to illuminate the world of technology with Bright Eyes!"
Big Ocean Bottle - The Smart Bottle That Cleans Our Oceans,The water bottle that directly funds ocean plastic collection. NFC-enabled with companion app | Dual opening | Vacuum  insulation,2903,10000.0,212611.0,294262.3198,7/20/2021 21:35,9/14/2021 14:27,10/29/2021 14:27,1635488843,Technology,London,True,False,successful,3deb5bbc79,2/27/2025,,"4. Description: Big Ocean Bottle, not just a water bottle, it’s a mission to save our oceans from plastic debris. Our innovative NFC-enabled bottle comes with a companion app, dual opening, and robust vacuum insulation. Your every refill contributes directly to the ocean plastic collection, turning you into an active champion of the environment. Hydrate for the health of our oceans!"
"Control VR- The Future of Virtual Reality, Animation & more","Control VR is a next-generation wearable technology that turns your hands into the ultimate intuitive controller for PCs, VR and beyond",1161,250000.0,442227.84,442227.84,5/13/2014 10:25,6/6/2014 2:57,7/6/2014 2:57,1404586646,Technology,Los Angeles,True,,successful,3ce9bbe6f4,2/27/2025,,"5. Description: Introducing Control VR, your hands' ticket to the future! Our wearable technology deploys intuitive hand movement to control PC, Virtual Reality, and more. Say goodbye to controllers and keyboards and enter a new world of interactive experience. Get onboard with Control VR, and let's revolutionize how we touch, feel, and navigate digital realms."
Soundlazer VR - Surround yourself in a virtual sound cloud,This new directional speaker will change how you listen to music. Immerse yourself in a private sound cloud without disturbing others.,246,24750.0,68734.0,68734.0,2/2/2016 2:11,6/1/2016 21:06,7/31/2016 21:06,1469970416,Technology,Los Angeles,True,,successful,3b5c2100e2,2/27/2025,,"6. Description: Surround yourself in an immersive sound cloud with Soundlazer VR! This cutting-edge, directional speaker revolutionizes your music listening experience by creating a virtual sound envelope. Enjoy your tunes without the slightest compromise on the sound quality or disturbing others. Unleash the power of sound, experience the future of music with Soundlazer VR!"
London Layout: Pocket Sized,Creating an app and leaflet to build a complete user experience for an alternative London underground map,110,1100.0,1466.0,2346.827863,6/17/2013 20:14,9/23/2013 20:10,11/4/2013 7:59,1383523141,Technology,London,True,,successful,37b354726c,2/27/2025,,"7. Description: Navigate London effortlessly with London Layout: Pocket Sized! A user-friendly app and leaflet duo, providing a refreshing perspective on an alternative London underground map. Designed to enhance"
Introducing the Airdog ADII: The Future is Hands-Free,"The most intelligent, all-terrain, camera drone that follows you in action, anywhere.",256,250000.0,303588.0,303588.0,6/27/2017 5:39,7/12/2017 17:36,8/11/2017 17:36,1502444167,Technology,Palo Alto,True,,successful,34e34c8e4b,2/27/2025,,Description could not be generated
AIR-INK: The world's first ink made out of air pollution,"At the MIT Media Lab, we invented a device that captures air pollution. We turned this pollution into safe, high-quality ink for art.",688,14000.0,41076.0,29165.21693,11/3/2016 22:30,2/7/2017 21:18,3/9/2017 21:18,1489065522,Technology,Singapore,True,,successful,337491229d,2/27/2025,,Description could not be generated
